"source_family_id","canonical_title","family_kind","publisher_or_organization","persistent_work_id","review_status","notes"
"SFAM-M2-GA-A07","Trainium3 Architecture Guide for NKI","dynamic_page_history","AWS Neuron","src-m2-ga-a07","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A08","Announcing Amazon EC2 Trn3 UltraServers","event_material_set","AWS","src-m2-ga-a08","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A09","Amazon.com Announces Fourth Quarter Results","event_material_set","Amazon Investor Relations","src-m2-ga-a09","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-A10","NeuronCore-v4 Architecture","document_revision_series","AWS Neuron","src-m2-ga-a10","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G01","Google Training Supercomputers from TPU v2 to Ironwood","publication_versions","Google","src-m2-ga-g01","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G02","A Domain-Specific Supercomputer for Training Deep Neural Networks","publication_versions","Google","src-m2-ga-g02","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G03","TPU v4: An Optically Reconfigurable Supercomputer for Machine Learning","publication_versions","Google","src-m2-ga-g03","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G04","Ironwood: Delivering Best in Class perf/TCO and perf/Watt","publication_versions","Google","src-m2-ga-g04","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G05","TPU architecture","dynamic_page_history","Google Cloud","src-m2-ga-g05","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G06","TPU v3","dynamic_page_history","Google Cloud","src-m2-ga-g06","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G07","TPU v4","dynamic_page_history","Google Cloud","src-m2-ga-g07","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G08","TPU v5e","dynamic_page_history","Google Cloud","src-m2-ga-g08","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G09","TPU v5p","dynamic_page_history","Google Cloud","src-m2-ga-g09","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G10","TPU v6e","dynamic_page_history","Google Cloud","src-m2-ga-g10","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G11","TPU7x","dynamic_page_history","Google Cloud","src-m2-ga-g11","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G12","Ironwood performance guide","dynamic_page_history","Google Cloud","src-m2-ga-g12","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G13","TPU 8t and TPU 8i technical deep dive","event_material_set","Google Cloud","src-m2-ga-g13","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G14","AI infrastructure at Next '26","event_material_set","Google Cloud","src-m2-ga-g14","draft","M2-GA-ARCH candidate family"
"SFAM-M2-GA-G15","A deep dive into SparseCore for Large Embedding Models","dynamic_page_history","OpenXLA Project","src-m2-ga-g15","draft","M2-GA-ARCH candidate family"
"SFAM-M2NA-NVIDIA-AMPERE-WP-2020","NVIDIA A100 Tensor Core GPU Architecture","document_revision_series","NVIDIA","nvidia-a100-architecture-whitepaper","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-ADA-WP-2022","NVIDIA Ada GPU Architecture","document_revision_series","NVIDIA","nvidia-ada-gpu-architecture","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-BLACKWELL-BRIEF-V2-1","NVIDIA Blackwell Architecture Technical Brief","document_revision_series","NVIDIA","nvidia-blackwell-architecture-technical-brief","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-BLACKWELL-HC36-2024","NVIDIA Blackwell Platform","event_material_set","NVIDIA","hc36-nvidia-blackwell-platform","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-PTX-ISA-9-3","Parallel Thread Execution ISA 9.3","document_revision_series","NVIDIA","nvidia-ptx-isa","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-BLACKWELL-TUNING-12-8","NVIDIA Blackwell Tuning Guide","document_revision_series","NVIDIA","nvidia-blackwell-tuning-guide","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-BLACKWELL-DATASHEET-OCT25","NVIDIA Blackwell Datasheet","document_revision_series","NVIDIA","nvidia-blackwell-datasheet","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-BLACKWELL-ULTRA-SOFTMAX-2026","Making Softmax More Efficient with NVIDIA Blackwell Ultra","dynamic_page_history","NVIDIA","nvidia-blackwell-ultra-softmax","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-NVIDIA-RUBIN-BLOG-20260721","Inside NVIDIA Rubin GPU Architecture: Powering the Era of Agentic AI","dynamic_page_history","NVIDIA","nvidia-rubin-gpu-architecture","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA2-WP","AMD CDNA 2 Architecture White Paper","document_revision_series","AMD","amd-cdna2-white-paper","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA2-ISA","AMD Instinct MI200 CDNA 2 Instruction Set Architecture","document_revision_series","AMD","amd-mi200-cdna2-isa","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA3-WP","Introducing AMD CDNA 3 Architecture","document_revision_series","AMD","amd-cdna3-white-paper","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA3-ISA","AMD Instinct MI300 CDNA 3 Instruction Set Architecture","document_revision_series","AMD","amd-mi300-cdna3-isa","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA4-WP","Introducing AMD CDNA 4 Architecture","document_revision_series","AMD","amd-cdna4-white-paper","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA4-ISA","AMD Instinct CDNA 4 Instruction Set Architecture","document_revision_series","AMD","amd-cdna4-isa","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA5-WP","Introducing AMD CDNA 5 Architecture","document_revision_series","AMD","amd-cdna5-white-paper","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA5-ISA","AMD Instinct CDNA 5 Instruction Set Architecture","document_revision_series","AMD","amd-cdna5-isa","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CDNA-LANDING","AMD CDNA Architecture","dynamic_page_history","AMD","amd-cdna-architecture-landing","draft","M2-NA-ARCH staging source family; total-control review required before merge."
"SFAM-M2NA-AMD-CES2026-RELEASE","AMD and Its Partners Share Their Vision for AI Everywhere, for Everyone at CES 2026","dynamic_page_history","AMD","amd-ces2026-ai-vision","draft","M2-NA-ARCH staging source family; total-control review required before merge."
