"conflict_group_id","object_id","component_id","link_id","object_relation_id","precision_path_id","capability_id","topology_id","field_id","condition_set_id","conflict_type","resolution_status","preferred_fact_id","resolution_rationale","reviewer","review_date","review_status","notes"
"CG-AWS-TRN2-003-TRN2U-48XL-BF16","","","","","PP-AWS-TRN2U-48XL-BF16","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前实例表 41 PFLOPS 与 2024 历史发布博客 83.2 PFLOPS 不一致"
"CG-AWS-TRN2-003-CHIP-FP16","","","","","PP-AWS-TRN2-CHIP-TENSOR-FP16","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前芯片直报值与 2024-12-03 历史发布值的版本差异；每核×8 的范围争议另见 007 组。"
"CG-AWS-TRN2-003-48XL-FP16","","","","","PP-AWS-TRN2-48XL-FP16","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前实例表 41 PFLOPS 与 2024 历史发布博客 83.2 PFLOPS 不一致"
"CG-AWS-TRN2-003-TRN2U-48XL-FP16","","","","","PP-AWS-TRN2U-48XL-FP16","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前实例表 41 PFLOPS 与 2024 历史发布博客 83.2 PFLOPS 不一致"
"CG-AWS-TRN2-003-CHIP-TF32","","","","","PP-AWS-TRN2-CHIP-TENSOR-TF32","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前芯片直报值与 2024-12-03 历史发布值的版本差异；每核×8 的范围争议另见 007 组。"
"CG-AWS-TRN2-003-48XL-TF32","","","","","PP-AWS-TRN2-48XL-TF32","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前实例表 41 PFLOPS 与 2024 历史发布博客 83.2 PFLOPS 不一致"
"CG-AWS-TRN2-003-TRN2U-48XL-TF32","","","","","PP-AWS-TRN2U-48XL-TF32","","","FIELD-COMP-THROUGHPUT","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","当前实例表 41 PFLOPS 与 2024 历史发布博客 83.2 PFLOPS 不一致"
"CG-AWS-TRN2-004-ULTRA-STATUS","OBJ-AWS-TRN2-ULTRASERVER-64","","","","","","","FIELD-ID-STATUS","COND-NONE","version_change","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","2024 固定公告为 preview；2026 动态页同页又同时写 available now 与 preview"
"CG-AWS-TRN2-005-ULTRA-EFA","","","LINK-AWS-TRN2-ULTRA64-EFAV3","","","","","FIELD-INT-PER-LINK-RATE","COND-NONE","scope_disagreement","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","S6 为 3.2 Tbps，S7 为 12.8 Tbps；不得自行补成单实例与四实例条件"
"CG-AWS-TRN2-006-3XL-MEM","","CMP-AWS-TRN2-3XL-MEMORY","","","","","","FIELD-MEM-CAPACITY","COND-NONE","source_error_suspected","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","EC2 通用表的 512 GiB 与产品专页 96 GB 冲突；通用表来源被筛为 rejected_unreliable"
"CG-AWS-TRN2-006-48XL-MEM","","CMP-AWS-TRN2-48XL-MEMORY","","","","","","FIELD-MEM-CAPACITY","COND-NONE","source_error_suspected","unreviewed","","不在 staging 阶段强裁决","","","needs_resolution","EC2 通用表的 8192 GiB 与产品/架构页 1536 GiB 冲突；通用表来源被筛为 rejected_unreliable"
"CG-AWS-TRN2-007-CHIP-FP8","","","","","PP-AWS-TRN2-CHIP-TENSOR-FP8","","","FIELD-COMP-THROUGHPUT","COND-NONE","scope_disagreement","unreviewed","","","","","needs_resolution","当前芯片直报稀疏值与每核×8 派生值分属直接事实和范围未决派生；aggregation_validity=unresolved。"
"CG-AWS-TRN2-007-CHIP-BF16","","","","","PP-AWS-TRN2-CHIP-TENSOR-BF16","","","FIELD-COMP-THROUGHPUT","COND-NONE","scope_disagreement","unreviewed","","","","","needs_resolution","当前芯片直报稀疏值与每核×8 派生值分属直接事实和范围未决派生；aggregation_validity=unresolved。"
"CG-AWS-TRN2-007-CHIP-FP16","","","","","PP-AWS-TRN2-CHIP-TENSOR-FP16","","","FIELD-COMP-THROUGHPUT","COND-NONE","scope_disagreement","unreviewed","","","","","needs_resolution","当前芯片直报稀疏值与每核×8 派生值分属直接事实和范围未决派生；aggregation_validity=unresolved。"
"CG-AWS-TRN2-007-CHIP-TF32","","","","","PP-AWS-TRN2-CHIP-TENSOR-TF32","","","FIELD-COMP-THROUGHPUT","COND-NONE","scope_disagreement","unreviewed","","","","","needs_resolution","当前芯片直报稀疏值与每核×8 派生值分属直接事实和范围未决派生；aggregation_validity=unresolved。"
