"screening_id","source_id","screening_status","rationale","full_text_read_status","screened_by","screened_date","screening_fingerprint","review_status","notes"
"SCREEN-AWS-TRN2-S01","SRC-AWS-TRN2-S01","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S01","draft","待总控复核"
"SCREEN-AWS-TRN2-S02","SRC-AWS-TRN2-S02","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S02","draft","待总控复核"
"SCREEN-AWS-TRN2-S03","SRC-AWS-TRN2-S03","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S03","draft","待总控复核"
"SCREEN-AWS-TRN2-S04","SRC-AWS-TRN2-S04","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S04","draft","待总控复核"
"SCREEN-AWS-TRN2-S05","SRC-AWS-TRN2-S05","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S05","draft","待总控复核"
"SCREEN-AWS-TRN2-S06","SRC-AWS-TRN2-S06","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S06","draft","待总控复核"
"SCREEN-AWS-TRN2-S07","SRC-AWS-TRN2-S07","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S07","draft","待总控复核"
"SCREEN-AWS-TRN2-S08","SRC-AWS-TRN2-S08","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S08","draft","待总控复核"
"SCREEN-AWS-TRN2-S09","SRC-AWS-TRN2-S09","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S09","draft","待总控复核"
"SCREEN-AWS-TRN2-S10","SRC-AWS-TRN2-S10","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S10","draft","待总控复核"
"SCREEN-AWS-TRN2-S11","SRC-AWS-TRN2-S11","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S11","draft","待总控复核"
"SCREEN-AWS-TRN2-S12","SRC-AWS-TRN2-S12","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S12","draft","待总控复核"
"SCREEN-AWS-TRN2-S13","SRC-AWS-TRN2-S13","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S13","draft","待总控复核"
"SCREEN-AWS-TRN2-S14","SRC-AWS-TRN2-S14","selected","试填草稿记录了对 Trainium2 事实的独有贡献","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S14","draft","待总控复核"
"SCREEN-AWS-TRN2-S15","SRC-AWS-TRN2-S15","rejected_unreliable","通用表与产品专页、架构页在容量和器件存在性上冲突；仅保留为冲突与质量审计证据","relevant_sections_read","trainium2_pilot","2026-08-12","SCREEN-FP-AWS-TRN2-S15","draft","未进入最小来源集"
"SCREEN-CAMBRICON-MLU-OPS-COMMIT-67B3707F","SRC-CAMBRICON-MLU-OPS-COMMIT-67B3707F","selected","Fixed first-party commit directly names the --mlu590 custom-operator build target and its BANG architecture macro. It is selected only for that software-target fact.","relevant_sections_read","mlu590_remediation","2026-08-12","SRC-CAMBRICON-MLU-OPS-COMMIT-67B3707F|selected|2026-08-12","draft","The 512 KB, 512 KB and 2048 KB macros are not selected as physical-memory facts."
